Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,comb
tum,atif aslam,bollywoodromantic,laila majnu,9.7/10,tum atif aslam laila majnu bollywoodromantic
radha nachegi,"danish sabri, ritu pathak, shabab sabri",bollywooddance,tevar,8.7/10,"radha nachegi danish sabri, ritu pathak, shabab sabri tevar bollywooddance"
itni si baat hai,"antara mitra, arijit singh",bollywoodromantic,azhar,9.5/10,"itni si baat hai antara mitra, arijit singh azhar bollywoodromantic"
laagi na choote,"arijit singh, shreya ghoshal",bollywoodromantic,a gentleman,9.3/10,"laagi na choote arijit singh, shreya ghoshal a gentleman bollywoodromantic"
sab tera,"armaan malik, shraddha kapoor",bollywoodromantic,baaghi,9.3/10,"sab tera armaan malik, shraddha kapoor baaghi bollywoodromantic"
mashallah,"shreya ghoshal, wajid",bollywooddance,ek tha tiger,9.2/10,"mashallah shreya ghoshal, wajid ek tha tiger bollywooddance"
taaron ka chamakta,"bali brahambhatt, udit narayan",bollywooddance,hum tumhare hain sanam,8.5/10,"taaron ka chamakta bali brahambhatt, udit narayan hum tumhare hain sanam bollywooddance"
sau tarah ke,"amit mishra, jonita gandhi",bollywooddance,dishoom,9.3/10,"sau tarah ke amit mishra, jonita gandhi dishoom bollywooddance"
gulabi aankhen,mohammed rafi,bollywooddanceromantic,the train,9.3/10,gulabi aankhen mohammed rafi the train bollywooddanceromantic
gulaabo,"anusha mani, vishal dadlani",bollywooddance,shaandaar,9.2/10,"gulaabo anusha mani, vishal dadlani shaandaar bollywooddance"
ya ali,zubeen garg,bollywoodsad,gangster,9.2/10,ya ali zubeen garg gangster bollywoodsad
lahu munh lag gaya,shail hada,bollywooddance,goliyon ki rasleela ram-leela,9.2/10,lahu munh lag gaya shail hada goliyon ki rasleela ram-leela bollywooddance
yeh kasoor mera hai,sonu kakkar,bollywoodromanticsadsensual,jism 2,7.8/10,yeh kasoor mera hai sonu kakkar jism 2 bollywoodromanticsadsensual
shanivaar raati,"arijit singh, shalmali kholgade",bollywooddance,main tera hero,8.8/10,"shanivaar raati arijit singh, shalmali kholgade main tera hero bollywooddance"
tere dil mein,armaan malik,bollywoodsad,commando 2,9.4/10,tere dil mein armaan malik commando 2 bollywoodsad
jab haal e dil tumse kehne ko,alka yagnik,bollywooddance,salaami,8.7/10,jab haal e dil tumse kehne ko alka yagnik salaami bollywooddance
tattad tattad,aditya narayan,bollywooddance,goliyon ki rasleela ram-leela,9.0/10,tattad tattad aditya narayan goliyon ki rasleela ram-leela bollywooddance
mohe rang do laal,"pandit birju maharaj, shreya ghoshal",bollywoodromantic,bajirao mastani,9.4/10,"mohe rang do laal pandit birju maharaj, shreya ghoshal bajirao mastani bollywoodromantic"
ek haseena thi,"himesh reshammiya, shreya ghoshal",bollywooddance,karzzzz,8.7/10,"ek haseena thi himesh reshammiya, shreya ghoshal karzzzz bollywooddance"
kahin pyaar na ho jaye,"alka yagnik, kumar sanu",bollywoodromantic,kahin pyaar na ho jaye,8.4/10,"kahin pyaar na ho jaye alka yagnik, kumar sanu kahin pyaar na ho jaye bollywoodromantic"
ek do teen,alka yagnik,bollywooddance,tezaab,8.7/10,ek do teen alka yagnik tezaab bollywooddance
maahi ve,"sadhana sargam, shankar mahadevan, sonu nigam, udit narayan",bollywooddance,kal ho naa ho,9.5/10,"maahi ve sadhana sargam, shankar mahadevan, sonu nigam, udit narayan kal ho naa ho bollywooddance"
tere mere,armaan malik,bollywoodsad,chef,9.7/10,tere mere armaan malik chef bollywoodsad
allah maaf kare,"shilpa rao, sonu nigam",bollywooddanceromantic,desi boyz,9.3/10,"allah maaf kare shilpa rao, sonu nigam desi boyz bollywooddanceromantic"
le le maza le,"hrishikesh kamerkar, nikita nigam, soumya raoh, suzanne d'mello",bollywooddance,wanted,9.0/10,"le le maza le hrishikesh kamerkar, nikita nigam, soumya raoh, suzanne d'mello wanted bollywooddance"
jaa sajna tujhko bhula,"alka yagnik, udit narayan",bollywoodsad,raja,8.0/10,"jaa sajna tujhko bhula alka yagnik, udit narayan raja bollywoodsad"
nazar se nazar mile,rahat fateh ali khan,bollywoodromantic,bollywood heightsmiley naa miley hum,9.2/10,nazar se nazar mile rahat fateh ali khan bollywood heightsmiley naa miley hum bollywoodromantic
gandi baat,"kalpana patowary, mika singh",bollywooddance,r... rajkumar,8.6/10,"gandi baat kalpana patowary, mika singh r... rajkumar bollywooddance"
sarphiri,"babul supriyo, shreya ghoshal",bollywoodromantic,laila majnu,9.6/10,"sarphiri babul supriyo, shreya ghoshal laila majnu bollywoodromantic"
mere sapno ki rani,kishore kumar,bollywooddanceromantic,aradhana,9.1/10,mere sapno ki rani kishore kumar aradhana bollywooddanceromantic
dum dum,"benny dayal, himani kapoor",bollywooddance,band baaja baaraat,9.3/10,"dum dum benny dayal, himani kapoor band baaja baaraat bollywooddance"
sari duniya ka boj,shabbir kumar,bollywooddance,coolie,7.9/10,sari duniya ka boj shabbir kumar coolie bollywooddance
pink lips,"anjjan, khushhboo grewal, meet bros",bollywooddance,hate story 2,8.7/10,"pink lips anjjan, khushhboo grewal, meet bros hate story 2 bollywooddance"
pee loon,mohit chauhan,bollywoodromance,once upon a time in mumbai,9.3/10,pee loon mohit chauhan once upon a time in mumbai bollywoodromance
khali khali dil,"armaan malik, payal dev",bollywoodromantic,tera intezaar,9.0/10,"khali khali dil armaan malik, payal dev tera intezaar bollywoodromantic"
hare krishna hare ram,"armaan malik, ritika",bollywooddance,commando 2,8.8/10,"hare krishna hare ram armaan malik, ritika commando 2 bollywooddance"
single rehne de,"divya kumar, shalmali kholgade",bollywooddance,simran,9.0/10,"single rehne de divya kumar, shalmali kholgade simran bollywooddance"
jhak maar ke,"harshdeep kaur, neeraj shridhar",bollywooddance,desi boyz,9.3/10,"jhak maar ke harshdeep kaur, neeraj shridhar desi boyz bollywooddance"
naa jaane,"anushka manchanda, neeraj shridhar",bollywooddance,i me aur main,9.3/10,"naa jaane anushka manchanda, neeraj shridhar i me aur main bollywooddance"
party on my mind,"k.k., shefali alvares, yo yo honey singh",bollywooddance,race 2,9.3/10,"party on my mind k.k., shefali alvares, yo yo honey singh race 2 bollywooddance"
kajra re,"alisha chinai, javed ali, shankar mahadevan",bollywooddance,bunty aur babli,9.2/10,"kajra re alisha chinai, javed ali, shankar mahadevan bunty aur babli bollywooddance"
likhe jo khat tujhe,mohammed rafi,bollywooddance,kanyadaan,9.2/10,likhe jo khat tujhe mohammed rafi kanyadaan bollywooddance
jhanjariya,abhijeet,bollywooddance,krishna,9.0/10,jhanjariya abhijeet krishna bollywooddance
o saathi re tere bina,"anjaan, kishore kumar",bollywoodsad,muqaddar ka sikandar,8.4/10,"o saathi re tere bina anjaan, kishore kumar muqaddar ka sikandar bollywoodsad"
tare hain barati,"jaspinder narula, kumar sanu",bollywooddance,virasat,8.9/10,"tare hain barati jaspinder narula, kumar sanu virasat bollywooddance"
tu zaroorat nahi tu zaroori hai,"gandharv sachdev, shreya ghoshal",bollywoodsad,fuddu,9.0/10,"tu zaroorat nahi tu zaroori hai gandharv sachdev, shreya ghoshal fuddu bollywoodsad"
iski uski,"akriti kakar, shahid mallya",bollywooddance,2 states,9.1/10,"iski uski akriti kakar, shahid mallya 2 states bollywooddance"
chote chote bhaiyon ke bade bhaiya,"kavita krishnamurthy, kumar sanu, udit narayan",bollywooddance,hum saath-saath hain,8.1/10,"chote chote bhaiyon ke bade bhaiya kavita krishnamurthy, kumar sanu, udit narayan hum saath-saath hain bollywooddance"
saiyaan superstar,tulsi kumar,bollywooddance,ek paheli leela,8.9/10,saiyaan superstar tulsi kumar ek paheli leela bollywooddance
every night & day,"himesh reshammiya, iulia vantur",bollywooddance,aap se mausiiquii,9.4/10,"every night & day himesh reshammiya, iulia vantur aap se mausiiquii bollywooddance"
photocopy,"himesh reshammiya, keerthi sagathia, palak muchhal",bollywooddance,jai ho,8.7/10,"photocopy himesh reshammiya, keerthi sagathia, palak muchhal jai ho bollywooddance"
dil tu hi bataa,"alisha chinai, zubeen garg",bollywoodromantic,krrish 3,8.5/10,"dil tu hi bataa alisha chinai, zubeen garg krrish 3 bollywoodromantic"
beech beech mein,"arijit singh, shalmali kholgade, shefali alvares",bollywooddance,jab harry met sejal,9.2/10,"beech beech mein arijit singh, shalmali kholgade, shefali alvares jab harry met sejal bollywooddance"
aakhon aakhon,yo yo honey singh,bollywooddance,bhaag johnny,9.4/10,aakhon aakhon yo yo honey singh bhaag johnny bollywooddance
kabhi alvida naa kehna title track,"alka yagnik, sonu nigam",bollywoodromanticsad,kabhi alvida naa kehna,9.4/10,"kabhi alvida naa kehna title track alka yagnik, sonu nigam kabhi alvida naa kehna bollywoodromanticsad"
all izz well,"shaan, sonu nigam, swanand kirkire",bollywooddance,3 idiots,8.1/10,"all izz well shaan, sonu nigam, swanand kirkire 3 idiots bollywooddance"
chandralekha,"jonita gandhi, vishal dadlani",bollywooddance,a gentleman,9.2/10,"chandralekha jonita gandhi, vishal dadlani a gentleman bollywooddance"
mitwa,"caralisa monteiro, shafqat amanat ali, shankar ehsaan loy, shankar mahadevan",bollywooddance,kabhi alvida naa kehna,9.5/10,"mitwa caralisa monteiro, shafqat amanat ali, shankar ehsaan loy, shankar mahadevan kabhi alvida naa kehna bollywooddance"
baat ban jaaye,"priya saraiya, siddharth basrur",bollywooddanceromantic,a gentleman,8.8/10,"baat ban jaaye priya saraiya, siddharth basrur a gentleman bollywooddanceromantic"
oye hichki,harshdeep kaur,bollywooddance,hichki,8.7/10,oye hichki harshdeep kaur hichki bollywooddance
ang laga de,"aditi paul, shail hada",bollywoodromanticsensual,goliyon ki rasleela ram-leela,9.0/10,"ang laga de aditi paul, shail hada goliyon ki rasleela ram-leela bollywoodromanticsensual"
lagdi hai thaai,"guru randhawa, jonita gandhi",bollywooddance,simran,9.2/10,"lagdi hai thaai guru randhawa, jonita gandhi simran bollywooddance"
ishq chadha hai,darshan raval,bollywoodromantic,single,9.7/10,ishq chadha hai darshan raval single bollywoodromantic
bandeya,arijit singh,bollywoodsad,dil juunglee,9.6/10,bandeya arijit singh dil juunglee bollywoodsad
love mera hit hit,"neeraj shridhar, tulsi kumar",bollywooddance,billu,9.3/10,"love mera hit hit neeraj shridhar, tulsi kumar billu bollywooddance"
ishq da sutta,"jasmine sandlas, meet bros",bollywooddance,one night stand,9.0/10,"ishq da sutta jasmine sandlas, meet bros one night stand bollywooddance"
zindagi kuch toh bata,jubin nautiyal,bollywood,bajrangi bhaijaan,9.4/10,zindagi kuch toh bata jubin nautiyal bajrangi bhaijaan bollywood
haareya,arijit singh,bollywoodromantic,meri pyaari bindu,9.6/10,haareya arijit singh meri pyaari bindu bollywoodromantic
patthar ke sanam,mohammed rafi,bollywoodsad,patthar ke sanam,8.8/10,patthar ke sanam mohammed rafi patthar ke sanam bollywoodsad
the medley,"lata mangeshkar, pamela chopra, sonu nigam, udit narayan",bollywooddance,mujhse dosti karoge!,9.0/10,"the medley lata mangeshkar, pamela chopra, sonu nigam, udit narayan mujhse dosti karoge! bollywooddance"
raghupati raghav,"bob, monali thakur, neeraj shridhar",bollywooddance,krrish 3,9.1/10,"raghupati raghav bob, monali thakur, neeraj shridhar krrish 3 bollywooddance"
the padman song,mika singh,bollywooddance,padman,9.3/10,the padman song mika singh padman bollywooddance
go pagal,"nindy kaur, raftaar",bollywooddance,jolly llb 2,8.6/10,"go pagal nindy kaur, raftaar jolly llb 2 bollywooddance"
sadi gali,lehmber hussainpuri,bollywooddance,tanu weds manu,9.0/10,sadi gali lehmber hussainpuri tanu weds manu bollywooddance
daiya daiya daiya re,alka yagnik,bollywooddanceromantic,dil ka rishta,8.9/10,daiya daiya daiya re alka yagnik dil ka rishta bollywooddanceromantic
challa,rabbi shergill,bollywooddance,jab tak hai jaan,9.4/10,challa rabbi shergill jab tak hai jaan bollywooddance
thoda aur,"arijit singh, palak muchhal",bollywoodromantic,ranchi diaries,9.5/10,"thoda aur arijit singh, palak muchhal ranchi diaries bollywoodromantic"
sexy baby girl,"lil golu, swati sharma",bollywooddance,tera intezaar,8.9/10,"sexy baby girl lil golu, swati sharma tera intezaar bollywooddance"
ek dilruba hai,udit narayan,bollywooddanceromantic,bewafaa,8.9/10,ek dilruba hai udit narayan bewafaa bollywooddanceromantic
tu pyar hai kisi aur ka,"anuradha paudwal, kumar sanu",bollywoodsad,dil hai ke manta nahin,9.1/10,"tu pyar hai kisi aur ka anuradha paudwal, kumar sanu dil hai ke manta nahin bollywoodsad"
aata majhi satakli,"mamta sharma, nitu choudhry, yo yo honey singh",bollywooddance,singham returns,7.9/10,"aata majhi satakli mamta sharma, nitu choudhry, yo yo honey singh singham returns bollywooddance"
ishq bulaava,sanam puri,bollywoodromantic,hasee toh phasee,9.8/10,ishq bulaava sanam puri hasee toh phasee bollywoodromantic
thug le,"sweta pandit, vishal dadlani",bollywooddance,ladies vs ricky bahl,9.4/10,"thug le sweta pandit, vishal dadlani ladies vs ricky bahl bollywooddance"
hum mar jayenge,"arijit singh, tulsi kumar",bollywoodsad,aashiqui 2,9.2/10,"hum mar jayenge arijit singh, tulsi kumar aashiqui 2 bollywoodsad"
desi girl,"shankar mahadevan, sunidhi chauhan, vishal dadlani",bollywooddance,dostana,9.4/10,"desi girl shankar mahadevan, sunidhi chauhan, vishal dadlani dostana bollywooddance"
madamji go easy,"benny dayal, david klyton",bollywooddance,hichki,8.9/10,"madamji go easy benny dayal, david klyton hichki bollywooddance"
tu dharti pe chaahe jahan bhi,"alka yagnik, kumar sanu",bollywoodromantic,jeet,8.6/10,"tu dharti pe chaahe jahan bhi alka yagnik, kumar sanu jeet bollywoodromantic"
sandese aate hain,"roop kumar rathod, sonu nigam",bollywoodpatriotic,border,9.1/10,"sandese aate hain roop kumar rathod, sonu nigam border bollywoodpatriotic"
tenu le ke,"mahalakshmi iyer, sonu nigam",bollywooddance,salaam-e-ishq,9.4/10,"tenu le ke mahalakshmi iyer, sonu nigam salaam-e-ishq bollywooddance"
pehli nazar mein,atif aslam,bollywoodromantic,race,9.5/10,pehli nazar mein atif aslam race bollywoodromantic
i wanna tera ishq,"shivangi bhayana, shivranjani singh",bollywooddance,great grand masti,9.2/10,"i wanna tera ishq shivangi bhayana, shivranjani singh great grand masti bollywooddance"
nimbooda nimbooda,"ismail darbar, kavita krishnamurthy",bollywooddance,hum dil de chuke sanam,8.7/10,"nimbooda nimbooda ismail darbar, kavita krishnamurthy hum dil de chuke sanam bollywooddance"
tera rang balle balle,"jaspinder narula, sonu nigam",bollywooddance,soldier,8.5/10,"tera rang balle balle jaspinder narula, sonu nigam soldier bollywooddance"
dil laga na,"jolly mukherjee, mahalaxmi iyer, soham chakrabarthy, sukhbir, suzanne d'mello",bollywooddance,dhoom 2,9.2/10,"dil laga na jolly mukherjee, mahalaxmi iyer, soham chakrabarthy, sukhbir, suzanne d'mello dhoom 2 bollywooddance"
naina banjare,arijit singh,bollywoodromantic,pataakha,9.7/10,naina banjare arijit singh pataakha bollywoodromantic
yadaan teriyaan,rahat fateh ali khan,bollywood,hero,9.4/10,yadaan teriyaan rahat fateh ali khan hero bollywood
asalaam-e-ishqum,"bappi lahiri, neha bhasin",bollywooddance,gunday,9.3/10,"asalaam-e-ishqum bappi lahiri, neha bhasin gunday bollywooddance"
nadaan parindey,a.r. rahman,bollywoodsad,rockstar,9.5/10,nadaan parindey a.r. rahman rockstar bollywoodsad
you are my soniya,"alka yagnik, sonu nigam",bollywooddance,kabhi khushi kabhie gham,9.4/10,"you are my soniya alka yagnik, sonu nigam kabhi khushi kabhie gham bollywooddance"
aaja nachle,sunidhi chauhan,bollywooddance,aaja nachle,9.1/10,aaja nachle sunidhi chauhan aaja nachle bollywooddance
piya o re piya,"atif aslam, shreya ghoshal",bollywoodromantic,tere naal love ho gaya,9.6/10,"piya o re piya atif aslam, shreya ghoshal tere naal love ho gaya bollywoodromantic"
halka halka,"ram sampath, shreya ghoshal, sonu nigam",bollywooddanceromantic,raees,9.5/10,"halka halka ram sampath, shreya ghoshal, sonu nigam raees bollywooddanceromantic"
peh gaya khalara,"akanksha bhandari, akasa singh, divya kumar, jasleen royal",bollywooddance,fukrey returns,9.4/10,"peh gaya khalara akanksha bhandari, akasa singh, divya kumar, jasleen royal fukrey returns bollywooddance"
malang,"shilpa rao, siddharth mahadevan",bollywooddance,dhoom 3,9.1/10,"malang shilpa rao, siddharth mahadevan dhoom 3 bollywooddance"
kuch kuch hota hai,"alka yagnik, udit narayan",bollywoodromantic,kuch kuch hota hai,9.2/10,"kuch kuch hota hai alka yagnik, udit narayan kuch kuch hota hai bollywoodromantic"
tay hai,ankit tiwari,bollywoodsad,rustom,9.6/10,tay hai ankit tiwari rustom bollywoodsad
usire usire,"shaan, shreya ghoshal",bollywooddanceromantic,hebbuli,8.7/10,"usire usire shaan, shreya ghoshal hebbuli bollywooddanceromantic"
papa mere papa,"baby aparna, shreya ghoshal, sonu nigam",bollywood,main aisa hi hoon,7.9/10,"papa mere papa baby aparna, shreya ghoshal, sonu nigam main aisa hi hoon bollywood"
go go govinda (reprise),"aaman trikha, shreya ghoshal",bollywooddance,omg oh my god!,8.7/10,"go go govinda (reprise) aaman trikha, shreya ghoshal omg oh my god! bollywooddance"
go go govinda,"aman trikha, shreya ghoshal",bollywooddance,omg oh my god!,8.7/10,"go go govinda aman trikha, shreya ghoshal omg oh my god! bollywooddance"
tu mujhe kabool,"kavita krishnamurthy, mohammad aziz",bollywooddance,khuda gawah,8.1/10,"tu mujhe kabool kavita krishnamurthy, mohammad aziz khuda gawah bollywooddance"
hori khele raghuveera,"alka yagnik, amitabh bachchan, sukhwinder singh, udit narayan",bollywooddance,baghban,8.2/10,"hori khele raghuveera alka yagnik, amitabh bachchan, sukhwinder singh, udit narayan baghban bollywooddance"
aap ka aana dil dhadkana,"alka yagnik, kumar sanu",bollywooddance,kurukshetra,8.9/10,"aap ka aana dil dhadkana alka yagnik, kumar sanu kurukshetra bollywooddance"
love tujhe love main karta,"alka yagnik, kumar sanu",bollywoodromantic,barsaat,8.9/10,"love tujhe love main karta alka yagnik, kumar sanu barsaat bollywoodromantic"
just go to hell dil,"amit trivedi, sunidhi chauhan",bollywoodsad,dear zindagi,9.6/10,"just go to hell dil amit trivedi, sunidhi chauhan dear zindagi bollywoodsad"
party all night,yo yo honey singh,bollywooddance,boss,9.0/10,party all night yo yo honey singh boss bollywooddance
talli tonight,"deep money, meet bros, mellow d, neha kakkar",bollywooddance,veerey ki wedding,9.3/10,"talli tonight deep money, meet bros, mellow d, neha kakkar veerey ki wedding bollywooddance"
darasal,atif aslam,bollywoodromantic,raabta,9.6/10,darasal atif aslam raabta bollywoodromantic
mauja hi mauja,mika singh,bollywooddance,jab we met,9.3/10,mauja hi mauja mika singh jab we met bollywooddance
dhokha dhadi,arijit singh,bollywoodromantic,r... rajkumar,9.3/10,dhokha dhadi arijit singh r... rajkumar bollywoodromantic
dhoom machale dhoom,aditi singh sharma,bollywooddance,dhoom 3,9.3/10,dhoom machale dhoom aditi singh sharma dhoom 3 bollywooddance
ikk kudi,diljit dosanjh,bollywoodromantic,udta punjab,9.5/10,ikk kudi diljit dosanjh udta punjab bollywoodromantic
jhalak dikhla ja,himesh reshammiya,bollywooddance,aksar,8.9/10,jhalak dikhla ja himesh reshammiya aksar bollywooddance
baby doll,"anjjan, kanika kapoor, meet bros",bollywooddance,ragini mms 2,8.8/10,"baby doll anjjan, kanika kapoor, meet bros ragini mms 2 bollywooddance"
laila o laila,"amit kumar, kanchan",bollywooddance,qurbani,8.8/10,"laila o laila amit kumar, kanchan qurbani bollywooddance"
jaane de,atif aslam,bollywood,qarib qarib singlle,9.6/10,jaane de atif aslam qarib qarib singlle bollywood
dilli wali girlfriend,"arijit singh, sunidhi chauhan",bollywooddance,yeh jawaani hai deewani,9.2/10,"dilli wali girlfriend arijit singh, sunidhi chauhan yeh jawaani hai deewani bollywooddance"
mar jaayen,atif aslam,bollywoodsad,loveshhuda,9.7/10,mar jaayen atif aslam loveshhuda bollywoodsad
i love my india,"hariharan, kavita krishnamurthy",bollywooddance,pardes,8.6/10,"i love my india hariharan, kavita krishnamurthy pardes bollywooddance"
o sahiba o sahiba,"kavita krishnamurthy, sonu nigam",bollywoodsad,dil hai tumhaara,8.7/10,"o sahiba o sahiba kavita krishnamurthy, sonu nigam dil hai tumhaara bollywoodsad"
o saaki saaki,"sukhwinder singh, sunidhi chauhan",bollywooddance,musafir,9.2/10,"o saaki saaki sukhwinder singh, sunidhi chauhan musafir bollywooddance"
lets talk about love,"manj musik, neha kakkar, raftaar",bollywooddance,baaghi,9.2/10,"lets talk about love manj musik, neha kakkar, raftaar baaghi bollywooddance"
satakli,sukhwinder singh,bollywooddance,happy new year,9.2/10,satakli sukhwinder singh happy new year bollywooddance
kashmir main tu kanyakumari,"arijit singh, neeti mohan, sunidhi chauhan",bollywooddance,chennai express,9.3/10,"kashmir main tu kanyakumari arijit singh, neeti mohan, sunidhi chauhan chennai express bollywooddance"
kaala doreya,neha bhasin,bollywood,kaalakaandi,9.3/10,kaala doreya neha bhasin kaalakaandi bollywood
raabta,"arijit singh, hamsika, joi",bollywoodromantic,agent vinod,9.5/10,"raabta arijit singh, hamsika, joi agent vinod bollywoodromantic"
vele,"shekhar ravjiani, vishal dadlani",bollywooddance,student of the year,9.5/10,"vele shekhar ravjiani, vishal dadlani student of the year bollywooddance"
440 volt,mika singh,bollywooddance,sultan,8.9/10,440 volt mika singh sultan bollywooddance
aapka kya hoga,"arun ingle, mika singh, sajid khan, shankar mahadevan, sunidhi chauhan",bollywooddance,housefull,9.1/10,"aapka kya hoga arun ingle, mika singh, sajid khan, shankar mahadevan, sunidhi chauhan housefull bollywooddance"
tere ishq mein naachenge,"alisha chinai, kumar sanu, sapna mukharji",bollywooddance,raja hindustani,8.7/10,"tere ishq mein naachenge alisha chinai, kumar sanu, sapna mukharji raja hindustani bollywooddance"
kisi ki muskurahaton se,mukesh,bollywooddance,anari,9.6/10,kisi ki muskurahaton se mukesh anari bollywooddance
bawara mann,"jubin nautiyal, neeti mohan",bollywoodromantic,jolly llb 2,9.3/10,"bawara mann jubin nautiyal, neeti mohan jolly llb 2 bollywoodromantic"
tere bina (guru),"a.r. rahman, chinmaye, murtuza khan, qadir khan",bollywooddance,guru,9.6/10,"tere bina (guru) a.r. rahman, chinmaye, murtuza khan, qadir khan guru bollywooddance"
itna sannata kyun hai,"aditi singh sharma, amit mishra",bollywooddance,golmaal again,8.7/10,"itna sannata kyun hai aditi singh sharma, amit mishra golmaal again bollywooddance"
desi look,kanika kapoor,bollywooddance,ek paheli leela,8.7/10,desi look kanika kapoor ek paheli leela bollywooddance
chamakti shaam hai,"alka yagnik, sonu nigam",bollywooddance,yaadein,8.9/10,"chamakti shaam hai alka yagnik, sonu nigam yaadein bollywooddance"
sarsariya,"shashaa tirupati, shashwat singh",bollywoodromantic,mohenjo daro,9.2/10,"sarsariya shashaa tirupati, shashwat singh mohenjo daro bollywoodromantic"
jag soona soona lage,unknown,bollywoodsad,om shanti om,9.4/10,jag soona soona lage unknown om shanti om bollywoodsad
kandhon se milte hain kandhe,"hariharan, kunal ganjawala, roop kumar rathod, shankar mahadevan, sonu nigam, vijay prakash",bollywoodpatriotic,lakshya,9.5/10,"kandhon se milte hain kandhe hariharan, kunal ganjawala, roop kumar rathod, shankar mahadevan, sonu nigam, vijay prakash lakshya bollywoodpatriotic"
deewangi deewangi,"rahul saxena, shaan, shreya ghoshal, sunidhi chauhan, udit narayan",bollywooddance,om shanti om,9.3/10,"deewangi deewangi rahul saxena, shaan, shreya ghoshal, sunidhi chauhan, udit narayan om shanti om bollywooddance"
tareefan remix,badshah,bollywooddance,veere di wedding,9.3/10,tareefan remix badshah veere di wedding bollywooddance
samjhawan,"arijit singh, shreya ghoshal",bollywoodsad,humpty sharma ki dulhania,9.4/10,"samjhawan arijit singh, shreya ghoshal humpty sharma ki dulhania bollywoodsad"
bam lahiri,kailash kher,bollywooddance,shor in the city,9.3/10,bam lahiri kailash kher shor in the city bollywooddance
chicken kuk doo koo,"mohit chauhan, palak muchhal",bollywooddance,bajrangi bhaijaan,8.9/10,"chicken kuk doo koo mohit chauhan, palak muchhal bajrangi bhaijaan bollywooddance"
dhating naach,"nakash aziz, neha kakkar",bollywooddance,phata poster nikhla hero,9.2/10,"dhating naach nakash aziz, neha kakkar phata poster nikhla hero bollywooddance"
tu itni khoobsurat hai,rahat fateh ali khan,bollywoodsad,barkhaa,9.5/10,tu itni khoobsurat hai rahat fateh ali khan barkhaa bollywoodsad
o priya priya,"anuradha paudwal, shabbir kumar",bollywoodsad,dil,7.6/10,"o priya priya anuradha paudwal, shabbir kumar dil bollywoodsad"
manchala,"nupur pant, shafqat amanat ali",bollywoodsad,hasee toh phasee,9.6/10,"manchala nupur pant, shafqat amanat ali hasee toh phasee bollywoodsad"
lukka chuppi,"a.r. rahman, lata mangeshkar",bollywoodsad,rang de basanti,9.7/10,"lukka chuppi a.r. rahman, lata mangeshkar rang de basanti bollywoodsad"
prem leela,"aaman trikha, vineet singh",bollywooddance,prem ratan dhan payo,8.0/10,"prem leela aaman trikha, vineet singh prem ratan dhan payo bollywooddance"
khuda jaane,"k.k., shilpa rao",bollywoodromantic,bachna ae haseeno,9.4/10,"khuda jaane k.k., shilpa rao bachna ae haseeno bollywoodromantic"
premika,"benny dayal, kanika kapoor",bollywooddance,dilwale,9.5/10,"premika benny dayal, kanika kapoor dilwale bollywooddance"
tera mujhse hai pehle ka naata koi,"kishore kumar, sushma shrestha",bollywoodromantic,aa gale lag jaa,9.2/10,"tera mujhse hai pehle ka naata koi kishore kumar, sushma shrestha aa gale lag jaa bollywoodromantic"
character dheela,"amrita kak, neeraj shridhar",bollywooddance,ready,9.3/10,"character dheela amrita kak, neeraj shridhar ready bollywooddance"
munni badnam hui,"aishwarya, mamta sharma",bollywooddance,dabangg,8.8/10,"munni badnam hui aishwarya, mamta sharma dabangg bollywooddance"
saadda haq,mohit chauhan,bollywooddance,rockstar,9.4/10,saadda haq mohit chauhan rockstar bollywooddance
rehnuma,"inder bawra, shreya ghoshal",bollywoodromanticsad,rocky handsome,9.5/10,"rehnuma inder bawra, shreya ghoshal rocky handsome bollywoodromanticsad"
ilahi,arijit singh,bollywooddance,yeh jawaani hai deewani,9.5/10,ilahi arijit singh yeh jawaani hai deewani bollywooddance
neendein khul jaati hain,"kanika kapoor, meet bros, mika singh",bollywooddance,hate story 3,9.1/10,"neendein khul jaati hain kanika kapoor, meet bros, mika singh hate story 3 bollywooddance"
phir le aya dil,shafqat amanat ali,bollywoodsad,barfi,9.7/10,phir le aya dil shafqat amanat ali barfi bollywoodsad
main yahaan hoon,udit narayan,bollywooddance,veer zaara,9.4/10,main yahaan hoon udit narayan veer zaara bollywooddance
soni soni,"ishaan, jaspinder narula, manohar shetty, pritha majumdar, shweta pandit, sonali bhatawdekar, udbhav, udit narayan",bollywooddance,mohabbatein,9.1/10,"soni soni ishaan, jaspinder narula, manohar shetty, pritha majumdar, shweta pandit, sonali bhatawdekar, udbhav, udit narayan mohabbatein bollywooddance"
rocket saiyyan,"brijesh shandilya, ritu pathak, tanishk baagchi",bollywooddance,shubh mangal saavdhan,8.9/10,"rocket saiyyan brijesh shandilya, ritu pathak, tanishk baagchi shubh mangal saavdhan bollywooddance"
khol de par,arijit singh,bollywood,hichki,9.3/10,khol de par arijit singh hichki bollywood
humko humise chura lo,"lata mangeshkar, udit narayan",bollywoodromantic,mohabbatein,9.1/10,"humko humise chura lo lata mangeshkar, udit narayan mohabbatein bollywoodromantic"
be intehaan,"atif aslam, sunidhi chauhan",bollywoodromantic,race 2,9.4/10,"be intehaan atif aslam, sunidhi chauhan race 2 bollywoodromantic"
